total_reads,reads_aligned,duplicate_reads,sample
130258704,105996190,56302386,ERX2277510_E-MTAB-6318DRIP_mOHT
106296035,87232693,29629814,ERX2277511_E-MTAB-6318DRIP_pOHT
42096251,34632868,11658736,SRX1025890_TC32_NT_DRIP
43279535,34321528,18859271,SRX1025891_TC32_Etop_DRIP
40705347,29244043,10679094,SRX1025892_TC32_RNH
23864546,19456587,9678636,SRX1025894_EWS502_NT_DRIP
25527039,20790170,9571749,SRX1025895_EWS502_Etop_DRIP
19837833,13917264,11866481,SRX1025896_EWS502_RNH
43452564,29231546,8878685,SRX1025898_CHLA10_NT_DRIP
48630559,32013579,21853941,SRX1025899_CHLA10_Etop_DRIP
49623008,31399164,20604651,SRX1025900_CHLA10_RNH
48233748,17062932,15446128,SRX1025902_IMR90_NT_DRIP
46977041,16321350,14988443,SRX1025903_IMR90_Etop_DRIP
41383179,11370874,10950331,SRX1025904_IMR90_RNH
41186992,28016560,20233734,SRX1025906_U2OS-pMSCV_NT_DRIP
51228442,21239989,17355978,SRX1025907_U2OS-pMSCV_Etop_DRIP
42564206,26811732,12699696,SRX1025908_U2OS-siCtrl_NT_DRIP
39005949,19624710,10137413,SRX1025909_U2OS-siCtrl_Etop_DRIP
40153612,20938586,12918285,SRX1025910_U2OS-siEWSR1-1_NT_DRIP
49156372,16934180,9686444,SRX1025911_U2OS-siEWSR1-1_Etop_DRIP
46231619,20581370,16185790,SRX1025912_U2OS-siEWSR1-2_NT_DRIP
47414726,20140071,9404042,SRX1025913_U2OS-siEWSR1-2_Etop_DRIP
37328943,17427138,15476728,SRX1025914_U2OS_RNH
93777474,58006121,37093597,SRX1029475_IMR90_RDIP
64925614,41514123,29758767,SRX1029477_HEK293T_RDIP
39064494,15517570,5392656,SRX1070676_NT2_DRIPc-seq_rep_1
23509552,15837135,8433539,SRX1070677_NT2_DRIPc-seq_rep_2
58406404,43579116,8211270,SRX1070678_NT2_DRIP-seq_1
38399500,31145639,12019144,SRX1070679_NT2_DRIP-seq_2
40515300,29803017,5153648,SRX1070680_NT2_DRIP-seq_RNaseA
44787090,16309951,5675282,SRX1070681_NT2_DRIP-seq_RNaseH
51101452,34168579,6171153,SRX1070682_K562_DRIP-seq
44465877,19365361,3910321,SRX1070683_E14_DRIP-seq
51569922,40307600,4894280,SRX1070684_3T3_DRIP-seq
46566240,29144537,9289493,SRX113812_Ntera2_DNA
68076488,31977343,11659764,SRX113813_Ntera2_DNA
30194723,19369810,7809444,SRX113814_Ntera2_DNA
67936704,25818326,14806068,SRX1674681_3T3_DRIPc-seq
10361439,4742859,2744008,SRX1761639_UNKNOWN
10231133,5448515,3500801,SRX1761640_UNKNOWN
14086435,7019807,1847265,SRX1761641_UNKNOWN
11652752,7073920,2541316,SRX1761643_UNKNOWN
9401801,4163334,1656362,SRX1761644_UNKNOWN
4768488,3051513,458044,SRX1761645_UNKNOWN
11317711,3899297,2437515,SRX1761648_UNKNOWN
11016724,3290066,2478992,SRX1761649_UNKNOWN
8379362,3500538,1267166,SRX1761650_UNKNOWN
8805055,2800463,1195322,SRX1761651_UNKNOWN
70601158,39500868,19692495,SRX1798983_Mock_S_96_DRIP_Seq
21420002,12218061,4442553,SRX1798985_Mock_RNaseH_S_96_DRIP_Seq
76308825,46169130,17199966,SRX1798986_2hr_S_96_DRIP_Seq
69773799,40000205,14882036,SRX1798988_24hr_S_96_DRIP_Seq
25774473,10743761,4899421,SRX1798989_24hr_RNAseH_S_96_DRIP_Seq
46008572,35149705,3844882,SRX1995063_UNKNOWN
41348054,31734564,3072399,SRX1995065_UNKNOWN
8853047,6952088,939594,SRX2187019_DRIP_shCtrl_IgG_rep1
14531807,3221604,395619,SRX2187020_DRIP_shCtrl_IgG_rep2
17819907,7740198,1067047,SRX2187021_DRIP_shSMN_IgG_rep1
12192053,8153345,807890,SRX2187022_DRIP_shSMN_IgG_rep2
15223543,11216427,1340438,SRX2187023_DRIP_shCtrl_S96_rep1
12849145,9433878,1129178,SRX2187024_DRIP_shCtrl_S96_rep2
14054890,10777593,918065,SRX2187025_DRIP_shSMN_S96_rep1
13224346,10001184,912826,SRX2187026_DRIP_shSMN_S96_rep2
24841667,18520291,14997153,SRX2455189_UNKNOWN
13383714,10115483,2142324,SRX2455191_UNKNOWN
28290178,21204568,18006924,SRX2455192_UNKNOWN
40361788,25155571,23725129,SRX2455195_UNKNOWN
64858720,58273969,9015707,SRX2481503_S96_DRIP_Seq_1
27457815,20416109,3833503,SRX255721_NT2_DRIP-seq_1
28508149,19980300,2982450,SRX255723_NT2_DRIP-seq_2_rep_1
24960360,16562064,1992362,SRX255724_NT2_DRIP-seq_2_rep_2
29240825,27269965,5870193,SRX2642935_DRIPseq_NC_1_Stromal
37914523,35584680,7670311,SRX2642936_DRIPseq_NC_1_Basal
35436659,33325551,8907989,SRX2642937_DRIPseq_NC_1_LP
32746265,30704894,6694754,SRX2642938_DRIPseq_NC_1_ML
33130816,31105831,10514808,SRX2642939_DRIPseq_NC_2_Stromal
34712887,32576550,8657165,SRX2642940_DRIPseq_NC_2_Basal
38445380,36103092,17159219,SRX2642941_DRIPseq_NC_2_LP
39994919,37523074,16069934,SRX2642942_DRIPseq_NC_2_ML
56754086,53091210,13100415,SRX2642943_DRIPseq_NC_3_Stromal
69456703,65114049,16441629,SRX2642944_DRIPseq_NC_3_Basal
56236151,52925942,17902345,SRX2642945_DRIPseq_NC_3_LP
55525431,52338784,16317700,SRX2642946_DRIPseq_NC_3_ML
81719940,76499086,16872083,SRX2642947_DRIPseq_NC_4_Stromal
60458780,56774831,12701097,SRX2642948_DRIPseq_NC_4_Basal
60980631,57227681,20253290,SRX2642949_DRIPseq_NC_4_LP
87717591,82526818,27550182,SRX2642950_DRIPseq_NC_4_ML
28030344,26021123,3270225,SRX2642951_DRIPseq_B1_1_Stromal
35896681,33559651,7449972,SRX2642952_DRIPseq_B1_1_Basal
42264347,39438364,18668540,SRX2642953_DRIPseq_B1_1_LP
36806755,34331995,14263324,SRX2642954_DRIPseq_B1_1_ML
29417902,27667223,6523473,SRX2642955_DRIPseq_B1_2_Stromal
36524962,34352893,7687353,SRX2642956_DRIPseq_B1_2_Basal
29179223,27265136,10717661,SRX2642957_DRIPseq_B1_2_LP
28423109,26322420,10428072,SRX2642958_DRIPseq_B1_2_ML
36770871,34630651,11440380,SRX2642959_DRIPseq_B1_3_Stromal
43994544,41513650,14750197,SRX2642960_DRIPseq_B1_3_Basal
43900377,41382389,18560532,SRX2642961_DRIPseq_B1_3_LP
26415379,24860100,7298675,SRX2642962_DRIPseq_B1_3_ML
39952938,37278699,9028595,SRX2642963_DRIPseq_B1_4_Stromal
32490088,30409942,5853486,SRX2642964_DRIPseq_B1_4_Basal
37342143,34939833,13564418,SRX2642965_DRIPseq_B1_4_LP
36200667,33908028,10731694,SRX2642966_DRIPseq_B1_4_ML
31454279,30258832,8928514,SRX2642969_DRIPseq_B1_4_LP_RH
28993725,27791949,7104047,SRX2642970_DRIPseq_B1_4_ML_RH
21372389,16259409,10063425,SRX2675003_HKE293-D210N-V5ChIP-Rep1
17531175,13705815,2233197,SRX2675005_HKE293-D210N-V5ChIP-Rep2
8524113,6399842,951276,SRX2675007_HKE293-D210N-V5ChIP-Rep3
12610857,9764721,1364074,SRX2675009_HKE293-WKKD-V5ChIP
23535620,18205180,9311258,SRX2675011_HKE293-ΔHC-V5ChIP
25305275,19451461,8593721,SRX2675012_K562-D210N-V5ChIP-Rep1
21190261,16460834,7220243,SRX2675013_K562-D210N-V5ChIP-Rep2
12592536,9871815,3397967,SRX2675016_HKE293-DRB--V5ChIP-Rep1
12986051,10144160,3966227,SRX2675017_HKE293-DRB--V5ChIP-Rep2
16475809,12988955,3195657,SRX2675018_HKE293-DRBand-V5ChIP-Rep1
12448581,9833319,2713731,SRX2675019_HKE293-DRBand-V5ChIP-Rep2
15118428,11897525,4395699,SRX2675020_HKE293-Post-DRB-V5ChIP-Rep1
