gene_symbol,corr,corrpval,type,corrpadj
ADGRA2,0.5371080139372824,3.6175182834080106e-4,qVal,0.018548002834928346
AFDN,0.5712757830404889,5.232742265828073e-4,qVal,0.02270205106097718
AGO1,0.49810336652441917,0.0019381483344900162,qVal,0.04400906239766901
AHCTF1,0.5381231671554252,0.001743664332064058,qVal,0.041626526276576876
ANAPC5,0.5538169748696063,4.666191700712214e-4,qVal,0.02105385695361351
ANKRD17,0.6270168855534708,2.2977286284619905e-5,qVal,0.005660641209469108
ARL5A,0.5362903225806452,0.002173731935486856,qVal,0.046482836459320824
ATP6V1A,0.5165103189493433,7.626031155741175e-4,qVal,0.026468194288233982
ATP9B,0.5835430572272676,1.5969400922653432e-4,qVal,0.013363013092307068
BCL10,0.5517249109007258,8.736334895465623e-4,qVal,0.027387257489708564
BNIP2,0.5755131964809385,7.076293829732645e-4,qVal,0.025542590207802952
BZW1,0.5542911332385017,4.6053380946207425e-4,qVal,0.02105385695361351
C2orf81,0.6163101604278075,1.8321427469133235e-4,qVal,0.01420532082803806
C8orf58,0.4944742313163365,0.001819523364724197,qVal,0.04232248309321671
CALD1,0.5275489361259265,9.452308599978916e-4,qVal,0.02809274936244464
CAMSAP1,0.5374517374517376,8.670850730986542e-4,qVal,0.027387257489708564
CANX,0.554655870445344,3.770908093779928e-4,qVal,0.018697073977071467
CAV1,0.5411290322580646,0.0019528258099467315,qVal,0.04400906239766901
CBX6,0.5637743006164059,3.528169885859971e-4,qVal,0.018457044768182624
CCDC134,0.5575248281130634,7.503702089237253e-4,qVal,0.026245506842355413
CCT5,0.579895685158843,2.203839667470444e-4,qVal,0.01420532082803806
CHCHD3,0.5303461356092934,8.74061409246018e-4,qVal,0.027387257489708564
CMTM3,0.5788123167155426,6.503048093755561e-4,qVal,0.02486589237205516
CNOT7,0.5044817927170869,0.0022712856494161576,qVal,0.04722599470122443
COA7,0.7415322580645162,4.2178374919037454e-6,qVal,0.002378772381478051
COL6A1,0.6187683284457478,2.175838349388221e-4,qVal,0.01420532082803806
COPS5,0.6350267379679144,1.0297757827789115e-4,qVal,0.011062734123567735
CTTNBP2NL,0.5758797653958945,7.010473895792378e-4,qVal,0.025509079207915494
CYTH3,0.6243697478991598,8.713734354696232e-5,qVal,0.00982909235209735
DGKD,0.5364304812834224,0.0015161556111478007,qVal,0.03827648396717202
DHX9,0.5663763066202092,1.4822242667827482e-4,qVal,0.013363013092307068
DNAJB11,0.49863223547434066,0.001645852610063309,qVal,0.04080267569563544
EDRF1,0.6755865102639297,3.5129504647518986e-5,qVal,0.006517742823205914
ERBIN,0.5883575883575883,1.3737019201971927e-4,qVal,0.013363013092307068
FADS1,0.5654784240150094,1.857130652652151e-4,qVal,0.01420532082803806
FAM20A,0.5717003946465512,2.1882016554008608e-4,qVal,0.01420532082803806
FANCE,0.5898530109056425,1.6289133866952322e-4,qVal,0.013363013092307068
FLNB,0.6158899923605806,1.4560015660225229e-4,qVal,0.013363013092307068
FNDC3B,0.6459131195973301,1.8992346111257517e-5,qVal,0.00504079209729376
FOXK1,0.6401500938086303,1.4001885019034793e-5,qVal,0.004211767013725666
GEMIN6,0.6129679144385026,2.023345114721825e-4,qVal,0.01420532082803806
GNE,0.5382239382239382,8.500529321314107e-4,qVal,0.027387257489708564
GNL3,0.7133712660028448,1.8647401956025288e-6,qVal,0.0017656137970243242
GNL3L,0.5649859943977592,5.066978436481422e-4,qVal,0.022413928142553115
GTF2IRD1,0.527170868347339,0.0013337345632638289,qVal,0.0355502219534452
HAT1,0.683467741935484,3.611338000446539e-5,qVal,0.006517742823205914
HCFC1R1,0.5979256138076331,4.1446261799277673e-5,qVal,0.006926130860679292
HELZ,0.5905748663101604,3.831888470739647e-4,qVal,0.01879291389127966
HIPK3,0.5274926686217009,0.002214621605390493,qVal,0.04691254780996199
IGLV1-51,0.5415234181897931,9.414853879427561e-4,qVal,0.02809274936244464
IQGAP1,0.5367456073338426,0.001259383462392814,qVal,0.03464840355070961
IVNS1ABP,0.6172458172458174,8.597151415027737e-5,qVal,0.00982909235209735
JMJD1C,0.49786628733997157,0.0019490175247111967,qVal,0.04400906239766901
KPNB1,0.5510318949343339,2.8774183834214147e-4,qVal,0.017082778613154506
MAFK,0.5880825057295646,3.2990389388712447e-4,qVal,0.01819945831512894
MAP1B,0.5509803921568628,7.342544044237122e-4,qVal,0.026072869278275977
MAP1LC3A,0.5885588954577408,3.952431927794284e-4,qVal,0.018908933444415986
MFAP4,0.6716189455679873,1.0005667823401976e-5,qVal,0.003224683801370694
MRPS17,0.5400560224089637,9.70499543669902e-4,qVal,0.028620221836853577
MSH6,0.6171171171171171,6.781480356156215e-5,qVal,0.00849945537971579
MTHFD1L,0.6842105263157895,5.764504610631764e-6,qVal,0.002378772381478051
MTHFD2L,0.5494868035190615,0.0013394365540970042,qVal,0.0355502219534452
MTMR2,0.5874713521772345,3.35624844619134e-4,qVal,0.01819945831512894
MTMR4,0.5777126099706744,6.689402895596801e-4,qVal,0.025152154887443972
MYC,0.5765182186234817,1.6121265917576097e-4,qVal,0.013363013092307068
MYL12B,0.6147360703812317,2.4456472450783617e-4,qVal,0.015116110095607626
NBR1,0.5446906035141329,0.0010369810827466379,qVal,0.029992683624056604
NDC80,0.5705645161290323,9.841492102313659e-4,qVal,0.028834293743921578
NDUFA4L2,0.6120978120978121,1.0156512737362008e-4,qVal,0.011062734123567735
NDUFS1,0.5490753911806543,5.315437926286995e-4,qVal,0.022800676310071304
NONO,0.5260695187165776,0.00192609230674742,qVal,0.04400906239766901
NT5C3A,0.5249299719887955,0.0014078880845157233,qVal,0.036507994467442205
NT5E,0.5431518521315983,0.0013166122278389842,qVal,0.03536044269053272
NUDCD3,0.5310573731626362,8.58125305054974e-4,qVal,0.027387257489708564
NUP214,0.5130758288653025,0.0011509333474632533,qVal,0.03266044819971194
NUP88,0.5622889305816133,2.04892026767901e-4,qVal,0.01420532082803806
OPN3,0.5407754010695187,0.0013684745773601405,qVal,0.03589858891307532
PAXIP1,0.6467787114845939,4.101050764441094e-5,qVal,0.006926130860679292
PCDHGB4,0.552008257224981,4.8258653378378574e-4,qVal,0.02155871723200437
PEAK1,0.5285923753665689,0.0021612359312873416,qVal,0.04643569772365945
PELI3,0.5151821862348178,9.284244660922894e-4,qVal,0.02809274936244464
PHF3,0.5375861691651165,6.059593563829877e-4,qVal,0.024195474477876462
POGK,0.525891181988743,5.907487053015448e-4,qVal,0.024013136561446578
PRAF2,0.5388809862494073,6.991339117611166e-4,qVal,0.025509079207915494
PRKDC,0.5207353102089943,9.463869466071775e-4,qVal,0.02809274936244464
PRPF40B,0.7498257839721255,1.6675209381144698e-7,qVal,3.761927236386244e-4
PRRC2C,0.5756647335594703,2.033639074549439e-4,qVal,0.01420532082803806
PTK2,0.5526315789473684,3.309820665277188e-4,qVal,0.01819945831512894
RAPH1,0.5302521008403362,0.001237408581103505,qVal,0.03425268415913506
RBM12B,0.5618315508021391,8.174025856796037e-4,qVal,0.027387257489708564
RDH5,0.6815844184265236,4.779889123769235e-6,qVal,0.002378772381478051
RFX5,0.6280566280566281,6.00523327350485e-5,qVal,0.007969297802957026
RHNO1,0.657258064516129,6.569282981483003e-5,qVal,0.008468744232128945
RICTOR,0.5318563789152024,0.001416250060820876,qVal,0.03651497299670739
RLF,0.6125286478227654,1.6135110529723058e-4,qVal,0.013363013092307068
RNF168,0.6319072108545792,3.170606813666974e-5,qVal,0.006248309865861295
RNF169,0.5054163475216106,0.0013938379607307595,qVal,0.03635258311455021
RNF213,0.5172064777327936,8.805302277685178e-4,qVal,0.027399671639252086
RNF41,0.48933143669985774,0.0023778959064135142,qVal,0.04876848331698989
RPL14,0.5081081081081081,0.0017855931753171352,qVal,0.04218113302110426
RPL4,0.5411149825783974,3.2158461987456447e-4,qVal,0.018137372560925437
RRP1B,0.6947288006111535,9.438590768528545e-6,qVal,0.003224683801370694
S100PBP,0.5905271199388846,3.078788232750842e-4,qVal,0.017736937469786423
SCAF11,0.6975599080862238,2.5438355911537603e-6,qVal,0.0019129643645476278
SDAD1,0.5177809388335703,0.001202481152244261,qVal,0.03349132690695127
SENP3-EIF4A1,0.5104951845972109,5.521571951238511e-4,qVal,0.023283488452325383
SFXN1,0.5312741312741313,0.0010146191846739424,qVal,0.029535237169347278
SH3PXD2A,0.6303643724696356,2.6059321790678213e-5,qVal,0.0058789829959770045
SLC16A1,0.5529411764705883,8.434482327098836e-4,qVal,0.027387257489708564
SLC25A5,0.5673387096774194,0.001064006067650873,qVal,0.03038478086861227
SLC7A5,0.7653225806451613,1.9565755729436217e-6,qVal,0.0017656137970243242
SMAD2,0.5873873873873875,2.1807465657596082e-4,qVal,0.01420532082803806
SNAPC5,0.6996515679442511,9.831720657917623e-7,qVal,0.0014786907869508105
SRP72,0.5227272727272727,0.0020775850901341994,qVal,0.04555624528504537
SYDE1,0.5463854756249047,8.285631247428983e-4,qVal,0.027387257489708564
TATDN1,0.5956241956241957,1.7013072806995177e-4,qVal,0.013707675804493256
TCAF1,0.530161943319838,6.227954323699162e-4,qVal,0.02464958763906195
TET3,0.6916344916344918,5.7993121002346094e-6,qVal,0.002378772381478051
TFAP2A,0.6030058651026393,3.407133979030678e-4,qVal,0.01819945831512894
TFDP1,0.5163584637268848,0.0010589009291424568,qVal,0.03038478086861227
TINF2,0.5424371740161213,6.359764892070696e-4,qVal,0.02473729240777843
TLE3,0.616807090491301,5.3874859415443114e-5,qVal,0.00790051758007516
TNFRSF12A,0.6454096102422818,6.783039848004524e-6,qVal,0.002550422982849701
TOMM20,0.5091366670314038,0.0012707007579530367,qVal,0.03472899317440181
TPM2,0.531294452347084,8.528709859593221e-4,qVal,0.027387257489708564
TRIO,0.8029871977240397,1.4313810967327602e-7,qVal,3.761927236386244e-4
TSPYL1,0.6327935222672064,2.3836919986682857e-5,qVal,0.005660641209469108
UBA2,0.5268628952839478,8.067492349289671e-4,qVal,0.027368816150372177
UBE2E1,0.5902187902187903,2.003770667447729e-4,qVal,0.01420532082803806
UBXN2A,0.49523809523809526,0.0024066563368998614,qVal,0.049134992724398974
UHRF1BP1,0.6232238349885408,1.1591961461509338e-4,qVal,0.012163472119611659
USP1,0.6173020527859238,2.2707236301310236e-4,qVal,0.014430288759367858
USP3,0.5538169748696063,4.666191700712214e-4,qVal,0.02105385695361351
XBP1,0.6216216216216216,5.825566361467916e-5,qVal,0.007965138006952496
YME1L1,0.5248281130634072,0.0016718360928478417,qVal,0.04091653856731858
ZBTB26,0.5168067226890757,0.0017080955787076707,qVal,0.04131180345226922
ZBTB37,0.5115439325965642,0.001196262560066027,qVal,0.03349132690695127
ZBTB38,0.5373900293255132,0.0017730671206628882,qVal,0.04210567814963659
ZBTB47,0.5325910931174089,5.827993385089331e-4,qVal,0.02390536923047551
ZC3H11A,0.5917631917631918,1.9127749640271397e-4,qVal,0.01420532082803806
ZC3H15,0.5122994652406417,0.002229175700339426,qVal,0.04698685222349608
ZFR,0.5681818181818182,6.953081478975174e-4,qVal,0.025509079207915494
ZNF117,0.5758689839572193,5.692762741676389e-4,qVal,0.023564904119673272
ZNF367,0.6736694677871149,1.5511259166300014e-5,qVal,0.004374175084896604
ZNF644,0.590801327643433,1.581927076256042e-4,qVal,0.013363013092307068
ZNF780B,0.5813598166539342,3.9788347792419444e-4,qVal,0.018908933444415986
ZNF783,0.5014157014157015,0.0020881926083749797,qVal,0.04555624528504537
ZNFX1,0.49425538899223104,0.0018290966762360946,qVal,0.04232248309321671
