attribute,Before filtering,After filtering,sample
Total Reads (millions),131.697197,130.258704,ERX2277510_E-MTAB-6318DRIP_mOHT
Total Bases (millions),11194.261745,11071.98984,ERX2277510_E-MTAB-6318DRIP_mOHT
Q20 Bases (millions),10710.286964,10647.461236,ERX2277510_E-MTAB-6318DRIP_mOHT
Q30 Bases (millions),10519.03383,10462.962051,ERX2277510_E-MTAB-6318DRIP_mOHT
Q20 Rate,0.956766,0.961657,ERX2277510_E-MTAB-6318DRIP_mOHT
Q30 Rate,0.939681,0.944994,ERX2277510_E-MTAB-6318DRIP_mOHT
Read1 Mean Length,85,85,ERX2277510_E-MTAB-6318DRIP_mOHT
GC Content,0.433217,0.432741,ERX2277510_E-MTAB-6318DRIP_mOHT
Total Reads (millions),107.506372,106.296035,ERX2277511_E-MTAB-6318DRIP_pOHT
Total Bases (millions),9138.04162,9033.392799,ERX2277511_E-MTAB-6318DRIP_pOHT
Q20 Bases (millions),8735.971499,8681.589471,ERX2277511_E-MTAB-6318DRIP_pOHT
Q30 Bases (millions),8578.610593,8529.843502,ERX2277511_E-MTAB-6318DRIP_pOHT
Q20 Rate,0.956,0.961055,ERX2277511_E-MTAB-6318DRIP_pOHT
Q30 Rate,0.93878,0.944257,ERX2277511_E-MTAB-6318DRIP_pOHT
Read1 Mean Length,85,84,ERX2277511_E-MTAB-6318DRIP_pOHT
GC Content,0.424758,0.424232,ERX2277511_E-MTAB-6318DRIP_pOHT
Total Reads (millions),42.290181,42.096251,SRX1025890_TC32_NT_DRIP
Total Bases (millions),2156.799231,2146.908801,SRX1025890_TC32_NT_DRIP
Q20 Bases (millions),2124.771125,2120.049641,SRX1025890_TC32_NT_DRIP
Q30 Bases (millions),2067.919882,2063.655183,SRX1025890_TC32_NT_DRIP
Q20 Rate,0.98515,0.987489,SRX1025890_TC32_NT_DRIP
Q30 Rate,0.958791,0.961222,SRX1025890_TC32_NT_DRIP
Read1 Mean Length,51,51,SRX1025890_TC32_NT_DRIP
GC Content,0.424145,0.424259,SRX1025890_TC32_NT_DRIP
Total Reads (millions),43.475794,43.279535,SRX1025891_TC32_Etop_DRIP
Total Bases (millions),2217.265494,2207.256285,SRX1025891_TC32_Etop_DRIP
Q20 Bases (millions),2183.002404,2178.210622,SRX1025891_TC32_Etop_DRIP
Q30 Bases (millions),2121.124068,2116.830952,SRX1025891_TC32_Etop_DRIP
Q20 Rate,0.984547,0.986841,SRX1025891_TC32_Etop_DRIP
Q30 Rate,0.95664,0.959033,SRX1025891_TC32_Etop_DRIP
Read1 Mean Length,51,51,SRX1025891_TC32_Etop_DRIP
GC Content,0.43536,0.435407,SRX1025891_TC32_Etop_DRIP
Total Reads (millions),40.844643,40.705347,SRX1025892_TC32_RNH
Total Bases (millions),2083.076793,2075.972697,SRX1025892_TC32_RNH
Q20 Bases (millions),2055.207294,2051.827553,SRX1025892_TC32_RNH
Q30 Bases (millions),2002.601199,1999.567649,SRX1025892_TC32_RNH
Q20 Rate,0.986621,0.988369,SRX1025892_TC32_RNH
Q30 Rate,0.961367,0.963196,SRX1025892_TC32_RNH
Read1 Mean Length,51,51,SRX1025892_TC32_RNH
GC Content,0.414575,0.414588,SRX1025892_TC32_RNH
Total Reads (millions),24.013249,23.864546,SRX1025894_EWS502_NT_DRIP
Total Bases (millions),1224.675699,1217.091846,SRX1025894_EWS502_NT_DRIP
Q20 Bases (millions),1197.131079,1193.566441,SRX1025894_EWS502_NT_DRIP
Q30 Bases (millions),1153.022668,1149.883138,SRX1025894_EWS502_NT_DRIP
Q20 Rate,0.977509,0.980671,SRX1025894_EWS502_NT_DRIP
Q30 Rate,0.941492,0.944779,SRX1025894_EWS502_NT_DRIP
Read1 Mean Length,51,51,SRX1025894_EWS502_NT_DRIP
GC Content,0.44833,0.44835,SRX1025894_EWS502_NT_DRIP
Total Reads (millions),25.672012,25.527039,SRX1025895_EWS502_Etop_DRIP
Total Bases (millions),1309.272612,1301.878989,SRX1025895_EWS502_Etop_DRIP
Q20 Bases (millions),1281.142513,1277.671479,SRX1025895_EWS502_Etop_DRIP
Q30 Bases (millions),1235.395309,1232.330272,SRX1025895_EWS502_Etop_DRIP
Q20 Rate,0.978515,0.981406,SRX1025895_EWS502_Etop_DRIP
Q30 Rate,0.943574,0.946578,SRX1025895_EWS502_Etop_DRIP
Read1 Mean Length,51,51,SRX1025895_EWS502_Etop_DRIP
GC Content,0.435071,0.435084,SRX1025895_EWS502_Etop_DRIP
Total Reads (millions),19.929058,19.837833,SRX1025896_EWS502_RNH
Total Bases (millions),1016.381958,1011.729483,SRX1025896_EWS502_RNH
Q20 Bases (millions),996.098062,993.925043,SRX1025896_EWS502_RNH
Q30 Bases (millions),961.994804,960.071105,SRX1025896_EWS502_RNH
Q20 Rate,0.980043,0.982402,SRX1025896_EWS502_RNH
Q30 Rate,0.946489,0.948941,SRX1025896_EWS502_RNH
Read1 Mean Length,51,51,SRX1025896_EWS502_RNH
GC Content,0.410271,0.410299,SRX1025896_EWS502_RNH
Total Reads (millions),43.636336,43.452564,SRX1025898_CHLA10_NT_DRIP
Total Bases (millions),2225.453136,2216.080764,SRX1025898_CHLA10_NT_DRIP
Q20 Bases (millions),2193.475391,2189.005588,SRX1025898_CHLA10_NT_DRIP
Q30 Bases (millions),2135.713238,2131.689757,SRX1025898_CHLA10_NT_DRIP
Q20 Rate,0.985631,0.987782,SRX1025898_CHLA10_NT_DRIP
Q30 Rate,0.959676,0.961919,SRX1025898_CHLA10_NT_DRIP
Read1 Mean Length,51,51,SRX1025898_CHLA10_NT_DRIP
GC Content,0.416774,0.416799,SRX1025898_CHLA10_NT_DRIP
Total Reads (millions),48.811273,48.630559,SRX1025899_CHLA10_Etop_DRIP
Total Bases (millions),2489.374923,2480.158509,SRX1025899_CHLA10_Etop_DRIP
Q20 Bases (millions),2454.638138,2450.246763,SRX1025899_CHLA10_Etop_DRIP
Q30 Bases (millions),2389.396762,2385.477072,SRX1025899_CHLA10_Etop_DRIP
Q20 Rate,0.986046,0.98794,SRX1025899_CHLA10_Etop_DRIP
Q30 Rate,0.959838,0.961824,SRX1025899_CHLA10_Etop_DRIP
Read1 Mean Length,51,51,SRX1025899_CHLA10_Etop_DRIP
GC Content,0.407828,0.407734,SRX1025899_CHLA10_Etop_DRIP
Total Reads (millions),49.787353,49.623008,SRX1025900_CHLA10_RNH
Total Bases (millions),2539.155003,2530.773408,SRX1025900_CHLA10_RNH
Q20 Bases (millions),2504.701971,2500.715136,SRX1025900_CHLA10_RNH
Q30 Bases (millions),2438.383657,2434.825192,SRX1025900_CHLA10_RNH
Q20 Rate,0.986431,0.988123,SRX1025900_CHLA10_RNH
Q30 Rate,0.960313,0.962087,SRX1025900_CHLA10_RNH
Read1 Mean Length,51,51,SRX1025900_CHLA10_RNH
GC Content,0.407021,0.406962,SRX1025900_CHLA10_RNH
Total Reads (millions),48.520151,48.233748,SRX1025902_IMR90_NT_DRIP
Total Bases (millions),2474.527701,2459.921148,SRX1025902_IMR90_NT_DRIP
Q20 Bases (millions),2431.688853,2424.759282,SRX1025902_IMR90_NT_DRIP
Q30 Bases (millions),2362.592347,2356.372564,SRX1025902_IMR90_NT_DRIP
Q20 Rate,0.982688,0.985706,SRX1025902_IMR90_NT_DRIP
Q30 Rate,0.954765,0.957906,SRX1025902_IMR90_NT_DRIP
Read1 Mean Length,51,51,SRX1025902_IMR90_NT_DRIP
GC Content,0.3838,0.383633,SRX1025902_IMR90_NT_DRIP
